,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl%_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
104,Jan Carlos Hurtado,ve  VEN,FW,Bragantino,21,2000,5.4,5,1,0,3,2,1,6,16.7,5,3,1,2,3,8,0,0
105,João Carlos,br  BRA,GK,Cuiabá,33,1988,10.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0
106,Alan Carvalho,cn  CHN,"FW,MF",Fluminense,32,1989,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
107,Cássio,br  BRA,GK,Corinthians,34,1987,34.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,15,1
108,Luciano Castán,br  BRA,DF,Coritiba,32,1989,35.0,31,17,22,7,2,19,31,61.3,12,53,43,10,35,66,144,4
109,Iury de Castilho,br  BRA,FW,Ceará,26,1995,5.8,6,3,1,5,0,1,7,14.3,6,6,0,6,1,7,2,1
110,Cauã,br  BRA,DF,Juventude,18,2003,0.5,3,3,3,0,0,1,1,100.0,0,0,0,0,0,3,1,0
111,Matheus Cavichioli,br  BRA,GK,América (MG),35,1986,25.0,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,18,0
112,Brayan Ceballos,co  COL,DF,Fortaleza,20,2001,11.9,18,9,10,7,1,8,16,50.0,8,11,6,5,14,32,55,1
113,Murilo Cerqueira,br  BRA,DF,Palmeiras,24,1997,31.5,38,21,27,9,2,21,41,51.2,20,51,25,26,39,77,102,0
114,Reynaldo Cesar Moraes,br  BRA,DF,Goiás,25,1997,30.5,42,26,37,5,0,17,29,58.6,12,31,24,7,40,82,191,1
115,Jhon Chancellor,ve  VEN,DF,Coritiba,30,1992,13.0,14,7,12,2,0,7,13,53.8,6,10,9,1,9,23,56,0
116,Arthur Chaves,br  BRA,DF,Avaí,21,2001,16.5,18,15,12,6,0,9,12,75.0,3,22,19,3,13,31,71,1
117,Renato Chaves,br  BRA,DF,Juventude,31,1990,1.8,1,0,1,0,0,1,2,50.0,1,1,1,0,5,6,7,0
118,Chico,br  BRA,"MF,FW",Juventude,30,1991,24.2,54,31,21,23,10,19,39,48.7,20,24,4,20,25,79,21,0
119,Christian,br  BRA,MF,Atl Paranaense,21,2000,4.8,8,6,1,6,1,4,8,50.0,4,3,1,2,5,13,4,0
120,Diego Churín,ar  ARG,FW,Atl Goianiense,32,1989,26.5,31,18,7,20,4,9,32,28.1,23,20,3,17,8,39,24,0
121,Marcelo Cirino,br  BRA,FW,Atl Paranaense,30,1992,5.2,5,3,1,2,2,2,6,33.3,4,7,0,7,5,10,5,0
122,Léo Cittadini,br  BRA,"MF,FW",Atl Paranaense,27,1994,8.0,18,10,9,8,1,7,15,46.7,8,9,0,9,5,23,12,0
