,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
65,Anthony Martial,"€ 115,385","€ 6,000,000","€ 6,000,000",F,26,France,Sevilla
66,Sergiño Dest,"€ 115,385","€ 6,000,000","€ 6,000,000",D,21,United States,Barcelona
67,Iñaki Williams,"€ 114,808","€ 5,970,000","€ 5,970,000",F,27,Spain,Athletic Club
68,Vicente Iborra,"€ 108,269","€ 5,630,000","€ 5,630,000",M,34,Spain,Villarreal
69,Gerónimo Rulli,"€ 104,231","€ 5,420,000","€ 5,420,000",K,29,Argentina,Villarreal
70,Gabriel Paulista,"€ 102,500","€ 5,330,000","€ 5,330,000",D,31,Brazil,Valencia
71,Paco Alcácer,"€ 100,192","€ 5,210,000","€ 5,210,000",F,28,Spain,Villarreal
72,Moussa Wagué,"€ 96,154","€ 5,000,000","€ 5,000,000",D,23,Senegal,Barcelona
73,Iñigo Martínez,"€ 96,154","€ 5,000,000","€ 5,000,000",D,30,Spain,Athletic Club
74,Munir El Haddadi,"€ 95,769","€ 4,980,000","€ 4,980,000",F,26,Morocco,Sevilla
75,Bryan Gil,"€ 95,000","€ 4,940,000","€ 4,940,000",F,20,Spain,Valencia
76,Fernando Reges,"€ 93,654","€ 4,870,000","€ 4,870,000",M,34,Brazil,Sevilla
77,Raúl Albiol,"€ 92,115","€ 4,790,000","€ 4,790,000",D,36,Spain,Villarreal
78,Borja Mayoral,"€ 92,115","€ 4,790,000","€ 4,790,000",F,24,Spain,Getafe
79,Aïssa Mandi,"€ 92,115","€ 4,790,000","€ 4,790,000",D,30,Algeria,Villarreal
80,Joan Jordán,"€ 90,769","€ 4,720,000","€ 4,720,000",M,27,Spain,Sevilla
81,Denis Suárez,"€ 90,000","€ 4,680,000","€ 4,680,000",F,28,Spain,Celta Vigo
82,Juan Foyth,"€ 88,077","€ 4,580,000","€ 4,580,000",D,24,Argentina,Villarreal
83,Nolito,"€ 88,077","€ 4,580,000","€ 4,580,000",F,35,Spain,Celta Vigo
84,Vedat Muriqi,"€ 88,077","€ 4,580,000","€ 4,580,000",F,27,Kosovo,Mallorca
85,David López,"€ 86,538","€ 4,500,000","€ 4,500,000",M,32,Spain,Espanyol
86,Stefan Savic,"€ 86,538","€ 4,500,000","€ 4,500,000",D,31,Montenegro,Atletico Madrid
87,Iker Muniain,"€ 84,615","€ 4,400,000","€ 4,400,000",F,29,Spain,Athletic Club
88,Asier Illarramendi,"€ 83,846","€ 4,360,000","€ 4,360,000",M,31,Spain,Real Sociedad
89,Unai Simón,"€ 83,654","€ 4,350,000","€ 4,350,000",K,24,Spain,Athletic Club
90,Giovani Lo Celso,"€ 83,077","€ 4,320,000","€ 4,320,000",M,25,Argentina,Villarreal
91,Yuri Berchiche,"€ 80,769","€ 4,200,000","€ 4,200,000",D,31,Spain,Athletic Club
92,Germán Pezzella,"€ 80,192","€ 4,170,000","€ 4,170,000",D,30,Argentina,Real Betis
93,José Giménez,"€ 76,923","€ 4,000,000","€ 4,000,000",D,27,Uruguay,Atletico Madrid
94,Jesús Navas,"€ 76,923","€ 4,000,000","€ 4,000,000",D,36,Spain,Sevilla
95,Riqui Puig,"€ 76,923","€ 4,000,000","€ 4,000,000",M,22,Spain,Barcelona
96,Adnan Januzaj,"€ 76,923","€ 4,000,000","€ 4,000,000",F,26,Belgium,Real Sociedad
97,Alfonso Pedraza,"€ 76,154","€ 3,960,000","€ 3,960,000",D,25,Spain,Villarreal
98,Mikel Merino,"€ 75,192","€ 3,910,000","€ 3,910,000",M,25,Spain,Real Sociedad
99,Renan Lodi,"€ 73,077","€ 3,800,000","€ 3,800,000",D,23,Brazil,Atletico Madrid
100,Jasper Cillessen,"€ 72,115","€ 3,750,000","€ 3,750,000",K,32,Netherlands,Valencia
101,Maxime Gonalons,"€ 71,154","€ 3,700,000","€ 3,700,000",M,32,France,Granada
102,Sergi Roberto,"€ 69,231","€ 3,600,000","€ 3,600,000",M,29,Spain,Barcelona
103,Mikel Oyarzabal,"€ 67,885","€ 3,530,000","€ 3,530,000",F,24,Spain,Real Sociedad
104,Ángel Correa,"€ 67,308","€ 3,500,000","€ 3,500,000",F,26,Argentina,Atletico Madrid
105,José Gayà,"€ 67,308","€ 3,500,000","€ 3,500,000",D,26,Spain,Valencia
106,Jesús Corona,"€ 67,308","€ 3,500,000","€ 3,500,000",F,29,Mexico,Sevilla
107,William Carvalho,"€ 66,923","€ 3,480,000","€ 3,480,000",M,29,Portugal,Real Betis
108,Thomas Delaney,"€ 66,731","€ 3,470,000","€ 3,470,000",M,30,Denmark,Sevilla
109,Sergio Asenjo,"€ 66,538","€ 3,460,000","€ 3,460,000",K,32,Spain,Villarreal
110,Nacho Monreal,"€ 66,346","€ 3,450,000","€ 3,450,000",D,35,Spain,Real Sociedad
111,Daniel Wass,"€ 66,154","€ 3,440,000","€ 3,440,000",M,32,Denmark,Valencia
112,Igor Zubeldia,"€ 65,769","€ 3,420,000","€ 3,420,000",D,24,Spain,Real Sociedad
113,Mario Gaspar,"€ 64,038","€ 3,330,000","€ 3,330,000",D,31,Spain,Villarreal
