,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
463,Leonardo Ulloa,ar  ARG,FW,Leicester City,28,1986,37,29,2398,26.6,11,3,9,2,2,3,0,0.41,0.11,0.53,0.34,0.45
464,Fredrik Ulvestad,no  NOR,"DF,MF",Burnley,22,1992,2,1,67,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
465,Matthew Upson,eng  ENG,DF,Leicester City,35,1979,5,5,373,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
466,Víctor Valdés,es  ESP,GK,Manchester Utd,32,1982,2,1,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
467,Antonio Valencia,ec  ECU,"DF,MF",Manchester Utd,28,1985,32,29,2580,28.7,0,3,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10
468,Enner Valencia,ec  ECU,"FW,MF",West Ham,24,1989,32,25,2101,23.3,4,3,4,0,0,2,0,0.17,0.13,0.30,0.17,0.30
469,Jamie Vardy,eng  ENG,FW,Leicester City,27,1987,34,26,2241,24.9,5,8,5,0,0,5,0,0.20,0.32,0.52,0.20,0.52
470,Silvestre Varela,pt  POR,"FW,MF",West Brom,29,1985,7,3,336,3.7,1,0,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27
471,Eduardo Vargas,cl  CHI,"FW,MF",QPR,24,1989,21,16,1382,15.4,3,2,3,0,0,1,0,0.20,0.13,0.33,0.20,0.33
472,Ricardo Vaz Tê,pt  POR,"FW,MF",West Ham,27,1986,4,3,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
473,Santiago Vergini,ar  ARG,DF,Sunderland,25,1988,31,28,2620,29.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
474,Jan Vertonghen,be  BEL,DF,Tottenham,27,1987,32,31,2811,31.2,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
475,Ron Vlaar,nl  NED,DF,Aston Villa,29,1985,20,19,1647,18.3,0,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05
476,Sam Vokes,wal  WAL,FW,Burnley,24,1989,15,5,567,6.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
477,Michel Vorm,nl  NED,GK,Tottenham,30,1983,4,3,357,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
478,Haris Vučkić,si  SVN,"FW,MF",Newcastle Utd,21,1992,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
