,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
283,Mariano,do  DOM,FW,Real Madrid,29-151,1993,0.3,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,100.0
284,Pablo Marín,es  ESP,"MF,FW",Real Sociedad,19-180,2003,1.2,1,0,0,2,0,0,2,0,1,0,0,0,4,2,2,50.0
285,Roger Martí,es  ESP,"FW,MF",Elche,31-361,1991,5.5,2,0,0,13,10,4,5,1,2,0,0,0,21,6,10,37.5
286,Iván Martín,es  ESP,MF,Girona,23-319,1999,1.9,0,0,0,1,2,1,1,0,2,1,0,0,4,0,2,0.0
287,Arnau Martinez,es  ESP,"DF,MF",Girona,19-249,2003,10.0,3,0,0,8,23,2,25,8,10,0,0,0,50,11,11,50.0
288,Iñigo Martínez,es  ESP,DF,Athletic Club,31-227,1991,9.0,1,0,0,8,9,2,2,14,3,0,0,0,57,16,8,66.7
289,Omar Mascarell,es  ESP,MF,Elche,29-331,1993,12.3,3,0,0,10,6,0,3,15,10,0,0,0,56,10,7,58.8
290,Jordi Masip,es  ESP,GK,Valladolid,33-361,1989,9.0,2,0,0,0,1,0,0,0,0,0,0,0,11,5,0,100.0
291,Jaime Mata,es  ESP,FW,Getafe,34-067,1988,0.5,2,0,0,5,1,0,0,0,0,0,0,0,2,1,0,100.0
292,Borja Mayoral,es  ESP,FW,Getafe,25-269,1997,12.3,2,0,0,10,22,4,9,0,1,1,0,0,26,12,23,34.3
293,Mamadou Mbaye,sn  SEN,DF,Cádiz,24-185,1998,2.3,0,0,0,1,0,0,0,1,0,0,0,0,10,4,4,50.0
294,Gonzalo Melero,es  ESP,MF,Almería,28-362,1994,6.0,2,0,0,8,16,1,0,2,5,0,0,0,35,3,5,37.5
295,Memphis,nl  NED,FW,Barcelona,28-320,1994,1.3,0,0,0,2,2,1,4,0,1,0,0,0,7,1,2,33.3
