,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
267,Víctor Sánchez,"€ 13,462","€ 700,000","Jun 30, 2023",1-yr,"€ 700,000",,M,CM,34,Spain,Girona
268,Stole Dimitrievski,"€ 13,462","€ 700,000","Jun 30, 2024",2-yrs,"€ 1,400,000",,K,GK,28,North Macedonia,Rayo Vallecano
269,Andoni Gorosabel,"€ 13,462","€ 700,000","Jun 30, 2024",2-yrs,"€ 1,400,000",,D,RB,25,Spain,Real Sociedad
270,Rubén Sobrino,"€ 13,462","€ 700,000","Jun 30, 2024",2-yrs,"€ 1,400,000",,F,CF,30,Spain,Cadiz
271,Keidi Bare,"€ 13,462","€ 700,000","Jun 30, 2024",2-yrs,"€ 1,400,000",,M,CM,24,Albania,Espanyol
272,Matías Vargas,"€ 13,269","€ 690,000","Jun 30, 2024",2-yrs,"€ 1,380,000",,F,LW,25,Argentina,Espanyol
273,Unai García,"€ 13,077","€ 680,000","Jun 30, 2023",1-yr,"€ 680,000",,D,CB,30,Spain,Osasuna
274,Álex Moreno,"€ 13,077","€ 680,000","Jun 30, 2025",3-yrs,"€ 2,040,000",,D,LB,29,Spain,Real Betis
275,Jawad El Yamiq,"€ 12,885","€ 670,000","Jun 30, 2024",2-yrs,"€ 1,340,000",,D,CB,30,Morocco,Valladolid
276,Jakub Jankto,"€ 12,885","€ 670,000","Jun 30, 2026",4-yrs,"€ 2,680,000",,M,LM,26,Czech Republic,Getafe
277,Adrián Embarba,"€ 12,692","€ 660,000","Jun 30, 2024",2-yrs,"€ 1,320,000",,F,RW,30,Spain,Espanyol
278,Iñigo Ruiz de Galarreta,"€ 12,692","€ 660,000","Jun 30, 2023",1-yr,"€ 660,000",,M,CM,28,Spain,Mallorca
279,José Ángel,"€ 12,500","€ 650,000","Jun 30, 2023",1-yr,"€ 650,000",,D,LB,32,Spain,Osasuna
280,Franco Russo,"€ 12,500","€ 650,000","Jun 30, 2024",2-yrs,"€ 1,300,000",,D,CB,27,Argentina,Mallorca
281,Édgar Badía,"€ 12,500","€ 650,000","Jun 30, 2023",1-yr,"€ 650,000",,K,GK,30,Spain,Elche
282,Sergi Gómez,"€ 12,500","€ 650,000","Jun 30, 2024",2-yrs,"€ 1,300,000",,D,CB,30,Spain,Espanyol
283,Juan Pérez,"€ 12,500","€ 650,000","Jun 30, 2024",2-yrs,"€ 1,300,000",,K,GK,25,Spain,Osasuna
284,Kike García,"€ 12,308","€ 640,000","Jun 30, 2024",2-yrs,"€ 1,280,000",,F,CF,32,Spain,Osasuna
285,Ante Budimir,"€ 12,115","€ 630,000","Jun 30, 2025",3-yrs,"€ 1,890,000",,F,CF,30,Croatia,Osasuna
286,Carles Aleñá,"€ 12,115","€ 630,000","Jun 30, 2026",4-yrs,"€ 2,520,000",,M,CM,24,Spain,Getafe
287,Fidel,"€ 11,923","€ 620,000","Jun 30, 2024",2-yrs,"€ 1,240,000",,F,LW,32,Spain,Elche
288,Álvaro Vadillo,"€ 11,923","€ 620,000","Jun 30, 2024",2-yrs,"€ 1,240,000",,F,LW,27,Spain,Espanyol
