,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ESP-La Liga,2122,Getafe,Ignasi Miquel,ESP,DF,28.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Getafe,Jaime Mata,ESP,FW,32.0,22,672.0,31.0,19.6,7.5,4,68.0,0,18,22.0,3,0.91,5.0,10.0,-5.0,-0.67,-0.57,5.7,9.7,-4.0,-0.54,-0.35
ESP-La Liga,2122,Getafe,Jakub Jankto,CZE,"DF,MF",25.0,14,587.0,42.0,17.2,6.5,6,74.0,3,8,18.0,10,0.87,9.0,12.0,-3.0,-0.46,-0.3,6.5,9.3,-2.8,-0.43,-0.21
ESP-La Liga,2122,Getafe,John Joe,IRL,MF,17.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Getafe,Jonathan Silva,ARG,"DF,MF",27.0,9,226.0,25.0,6.6,2.5,1,73.0,0,8,19.0,13,0.56,0.0,7.0,-7.0,-2.79,-2.76,2.0,4.8,-2.8,-1.13,-0.94
ESP-La Liga,2122,Getafe,Jorge Cuenca,ESP,DF,21.0,32,2683.0,84.0,78.5,29.8,31,86.0,26,1,10.0,0,1.09,26.0,32.0,-6.0,-0.2,0.04,22.4,32.3,-10.0,-0.33,-0.38
ESP-La Liga,2122,Getafe,José Juan Macías,MEX,"FW,MF",21.0,7,201.0,29.0,5.9,2.2,2,56.0,0,5,18.0,4,0.14,1.0,4.0,-3.0,-1.34,-1.2,1.7,3.1,-1.3,-0.59,-0.35
ESP-La Liga,2122,Getafe,Marc Cucurella,ESP,"FW,DF",23.0,1,23.0,23.0,0.7,0.3,0,,0,1,23.0,0,0.0,0.0,0.0,0.0,0.0,0.21,0.5,0.0,0.5,2.12,2.39
ESP-La Liga,2122,Getafe,Mathías Olivera,URU,DF,23.0,32,2803.0,88.0,82.0,31.1,32,88.0,28,0,,0,1.06,24.0,28.0,-4.0,-0.13,0.46,22.6,28.3,-5.7,-0.18,0.38
ESP-La Liga,2122,Getafe,Mauro Arambarri,URU,MF,25.0,31,2663.0,86.0,77.9,29.6,31,86.0,27,0,,0,1.23,31.0,27.0,4.0,0.14,1.56,25.1,29.6,-4.5,-0.15,0.45
ESP-La Liga,2122,Getafe,Nemanja Maksimović,SRB,MF,26.0,35,2936.0,84.0,85.8,32.6,34,86.0,26,1,17.0,1,0.97,25.0,37.0,-12.0,-0.37,-1.11,23.4,32.7,-9.3,-0.28,-0.22
ESP-La Liga,2122,Getafe,Okay Yokuşlu,TUR,"DF,MF",27.0,11,465.0,42.0,13.6,5.2,5,80.0,3,6,11.0,5,1.09,1.0,4.0,-3.0,-0.58,-0.43,4.0,4.2,-0.2,-0.04,0.25
ESP-La Liga,2122,Getafe,Opponent Total,,,27.8,38,3420.0,90.0,100.0,38.0,418,82.0,247,168,19.0,252,1.03,41.0,33.0,8.0,0.21,,39.1,29.5,9.6,0.25,
ESP-La Liga,2122,Getafe,Rubén Yáñez,ESP,GK,27.0,0,,,,,0,,0,0,,36,,,,,,,,,,,
ESP-La Liga,2122,Getafe,Sandro Ramírez,ESP,FW,26.0,29,1462.0,50.0,42.7,16.2,19,65.0,0,10,23.0,1,1.14,14.0,15.0,-1.0,-0.06,0.26,12.6,15.2,-2.7,-0.16,0.15
ESP-La Liga,2122,Getafe,Squad Total,,,26.6,38,3420.0,90.0,100.0,38.0,418,83.0,259,153,19.0,251,1.03,33.0,41.0,-8.0,-0.21,,29.5,39.1,-9.6,-0.25,
ESP-La Liga,2122,Getafe,Stefan Mitrović,SRB,DF,31.0,32,2667.0,83.0,78.0,29.6,31,85.0,24,1,24.0,4,1.09,31.0,32.0,-1.0,-0.03,0.8,23.9,29.5,-5.6,-0.19,0.28
ESP-La Liga,2122,Getafe,Vitolo,ESP,"MF,FW",31.0,7,221.0,32.0,6.5,2.5,1,45.0,0,6,29.0,15,0.43,1.0,3.0,-2.0,-0.81,-0.65,2.6,2.0,0.6,0.26,0.54
ESP-La Liga,2122,Getafe,Ángel Algobia,ESP,MF,22.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",23.0,18,943.0,52.0,27.6,10.5,9,79.0,1,9,26.0,0,1.17,12.0,9.0,3.0,0.29,0.69,9.9,9.8,0.2,0.02,0.37
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25.0,4,284.0,71.0,8.3,3.2,3,90.0,3,1,14.0,31,1.0,4.0,8.0,-4.0,-1.27,-0.89,2.1,5.6,-3.5,-1.11,-0.63
ESP-La Liga,2122,Granada,Adrián Butzke,ESP,FW,22.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,9,3.0,1.0,0.0,1.0,90.0,90.47,0.1,0.0,0.1,10.14,10.68
ESP-La Liga,2122,Granada,Alberto Soro,ESP,"MF,FW",22.0,16,578.0,36.0,16.9,6.4,7,68.0,1,9,11.0,18,1.06,11.0,13.0,-2.0,-0.31,0.16,8.5,13.5,-5.0,-0.78,-0.3
ESP-La Liga,2122,Granada,Antonio Puertas,ESP,"MF,FW",29.0,33,2261.0,69.0,66.1,25.1,25,79.0,8,8,36.0,5,1.09,27.0,34.0,-7.0,-0.28,0.5,26.4,35.8,-9.4,-0.37,0.46
ESP-La Liga,2122,Granada,Barcia,ESP,DF,20.0,1,75.0,75.0,2.2,0.8,1,75.0,0,0,,4,1.0,0.0,1.0,-1.0,-1.2,-0.77,0.4,1.0,-0.5,-0.65,-0.13
ESP-La Liga,2122,Granada,Brau,ESP,DF,19.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Granada,Bryan Zaragoza,,MF,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Granada,Carlos Bacca,COL,FW,34.0,17,513.0,30.0,15.0,5.7,4,73.0,1,13,17.0,16,0.83,7.0,10.0,-3.0,-0.53,-0.09,6.9,8.6,-1.7,-0.3,0.27
ESP-La Liga,2122,Granada,Carlos Neva,ESP,DF,25.0,26,2108.0,81.0,61.6,23.4,24,84.0,15,2,41.0,2,1.04,19.0,37.0,-18.0,-0.77,-0.84,21.1,37.4,-16.3,-0.7,-0.43
ESP-La Liga,2122,Granada,Cheikh Kané Sarr,SEN,GK,21.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
ESP-La Liga,2122,Granada,Dani Raba,ESP,"MF,FW",25.0,2,26.0,13.0,0.8,0.3,0,,0,2,13.0,5,0.5,0.0,1.0,-1.0,-3.46,-3.04,0.0,0.9,-0.9,-2.97,-2.45
ESP-La Liga,2122,Granada,Darwin Machís,VEN,"MF,FW",28.0,25,1376.0,55.0,40.2,15.3,16,70.0,3,9,28.0,5,0.96,18.0,22.0,-4.0,-0.26,0.31,16.0,21.3,-5.3,-0.35,0.3
ESP-La Liga,2122,Granada,Dimitri Foulquier,FRA,DF,28.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,0,1.0,1.0,1.0,0.0,0.0,0.47,1.1,2.9,-1.8,-0.92,-0.41
ESP-La Liga,2122,Granada,Domingos Duarte,POR,DF,26.0,21,1687.0,80.0,49.3,18.7,19,85.0,16,2,34.0,4,0.81,21.0,31.0,-10.0,-0.53,-0.17,19.8,30.4,-10.6,-0.57,-0.07
ESP-La Liga,2122,Granada,Germán Sánchez,ESP,DF,34.0,32,2299.0,72.0,67.2,25.5,25,85.0,21,7,24.0,2,0.97,30.0,47.0,-17.0,-0.67,-0.67,28.4,44.7,-16.3,-0.64,-0.33
ESP-La Liga,2122,Granada,Isma Ruiz,ESP,MF,20.0,8,283.0,35.0,8.3,3.1,3,70.0,0,5,14.0,23,1.0,4.0,5.0,-1.0,-0.32,0.14,3.2,4.4,-1.2,-0.38,0.16
ESP-La Liga,2122,Granada,Jorge Molina,ESP,FW,39.0,35,1966.0,56.0,57.5,21.8,19,84.0,10,16,23.0,2,0.97,29.0,35.0,-6.0,-0.27,0.41,30.0,34.0,-4.1,-0.19,0.81
ESP-La Liga,2122,Granada,Luis Abram,PER,DF,25.0,8,560.0,70.0,16.4,6.2,6,80.0,4,2,39.0,12,1.38,8.0,5.0,3.0,0.48,1.11,5.4,7.2,-1.8,-0.29,0.29
ESP-La Liga,2122,Granada,Luis Javier Suárez,COL,FW,23.0,37,2844.0,77.0,83.2,31.6,34,82.0,19,3,22.0,0,1.03,33.0,51.0,-18.0,-0.57,-0.73,34.1,50.6,-16.5,-0.52,0.05
ESP-La Liga,2122,Granada,Luis Milla,ESP,MF,26.0,34,2773.0,82.0,81.1,30.8,33,83.0,21,1,45.0,0,1.09,37.0,45.0,-8.0,-0.26,0.99,32.2,47.1,-14.9,-0.48,0.24
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22.0,35,3136.0,90.0,91.7,34.8,35,90.0,34,0,,2,1.03,43.0,55.0,-12.0,-0.34,1.24,39.2,55.9,-16.6,-0.48,0.63
ESP-La Liga,2122,Granada,Matias Arezo,URU,FW,18.0,8,162.0,20.0,4.7,1.8,1,71.0,0,7,13.0,8,0.25,4.0,5.0,-1.0,-0.56,-0.11,3.2,6.1,-2.9,-1.61,-1.13
ESP-La Liga,2122,Granada,Maxime Gonalons,FRA,MF,32.0,25,1550.0,62.0,45.3,17.2,20,72.0,9,5,24.0,1,1.0,19.0,25.0,-6.0,-0.35,0.18,14.6,28.1,-13.5,-0.78,-0.46
ESP-La Liga,2122,Granada,Monchu,ESP,MF,21.0,14,668.0,48.0,19.5,7.4,7,77.0,3,7,18.0,7,1.21,6.0,11.0,-5.0,-0.67,-0.28,5.9,11.7,-5.8,-0.78,-0.31
ESP-La Liga,2122,Granada,Myrto Uzuni,ALB,"MF,FW",26.0,15,856.0,57.0,25.0,9.5,9,71.0,2,6,36.0,1,0.93,12.0,19.0,-7.0,-0.74,-0.38,12.9,19.4,-6.5,-0.68,-0.2
ESP-La Liga,2122,Granada,Njegoš Petrović,SRB,MF,22.0,15,918.0,61.0,26.8,10.2,10,82.0,5,5,20.0,0,0.73,12.0,23.0,-11.0,-1.08,-0.86,10.6,19.2,-8.5,-0.84,-0.42
ESP-La Liga,2122,Granada,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,81.0,233,178,20.0,231,1.0,61.0,44.0,17.0,0.45,,61.4,41.3,20.2,0.53,
ESP-La Liga,2122,Granada,Pepe,ESP,DF,21.0,0,,,,,0,,0,0,,12,,,,,,,,,,,
ESP-La Liga,2122,Granada,Quini,ESP,DF,31.0,32,2304.0,72.0,67.4,25.6,27,82.0,19,5,19.0,4,1.0,28.0,41.0,-13.0,-0.51,-0.19,25.5,40.9,-15.4,-0.6,-0.22
ESP-La Liga,2122,Granada,Raúl Torrente,ESP,DF,19.0,18,1282.0,71.0,37.5,14.2,15,80.0,12,3,27.0,11,0.94,15.0,20.0,-5.0,-0.35,0.15,17.2,20.7,-3.5,-0.25,0.45
ESP-La Liga,2122,Granada,Rubén Rochina,ESP,"MF,FW",30.0,15,743.0,50.0,21.7,8.3,8,80.0,5,7,15.0,4,0.67,11.0,12.0,-1.0,-0.12,0.42,7.9,11.6,-3.7,-0.45,0.1
ESP-La Liga,2122,Granada,Santiago Arias,COL,DF,29.0,12,440.0,37.0,12.9,4.9,4,78.0,2,8,16.0,8,1.5,12.0,9.0,3.0,0.61,1.22,7.6,9.3,-1.7,-0.35,0.21
ESP-La Liga,2122,Granada,Sergio Escudero,ESP,"DF,MF",31.0,27,1434.0,53.0,41.9,15.9,15,83.0,9,12,16.0,3,1.26,23.0,22.0,1.0,0.06,0.88,19.4,23.5,-4.1,-0.26,0.47
ESP-La Liga,2122,Granada,Squad Total,,,28.1,38,3420.0,90.0,100.0,38.0,418,80.0,241,175,22.0,243,1.0,44.0,61.0,-17.0,-0.45,,41.3,61.4,-20.2,-0.53,
ESP-La Liga,2122,Granada,Víctor Díaz,ESP,DF,33.0,22,1500.0,68.0,43.9,16.7,18,78.0,10,4,23.0,11,1.09,22.0,32.0,-10.0,-0.6,-0.27,19.0,29.0,-10.0,-0.6,-0.13
ESP-La Liga,2122,Granada,Yan Brice Eteki,CMR,MF,23.0,12,343.0,29.0,10.0,3.8,2,56.0,0,10,23.0,14,1.33,6.0,6.0,0.0,0.0,0.5,6.7,5.1,1.6,0.41,1.04
ESP-La Liga,2122,Granada,Álex Collado,ESP,"MF,FW",22.0,17,1020.0,60.0,29.8,11.3,13,71.0,3,4,23.0,2,0.88,9.0,16.0,-7.0,-0.62,-0.24,11.6,18.3,-6.7,-0.59,-0.09
ESP-La Liga,2122,Granada,Ángel,ESP,GK,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Granada,Ángel Montoro,ESP,MF,33.0,24,1331.0,55.0,38.9,14.8,13,73.0,4,11,34.0,3,0.67,17.0,30.0,-13.0,-0.88,-0.71,15.9,27.5,-11.6,-0.79,-0.42
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30.0,13,1166.0,90.0,34.1,13.0,13,90.0,12,0,,22,0.62,12.0,29.0,-17.0,-1.31,-0.99,15.2,18.8,-3.6,-0.28,-0.44
ESP-La Liga,2122,Levante,Alejandro Blesa,ESP,MF,19.0,0,,,,,0,,0,0,,11,,,,,,,,,,,
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,1,3.0,3.0,1.0,2.0,2.0,2.73,1.9,0.4,1.5,1.5,1.53
ESP-La Liga,2122,Levante,Antonio Leal,ESP,DF,22.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Levante,Carlos Benitez,ESP,MF,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Levante,Carlos Clerc,ESP,DF,29.0,19,1514.0,80.0,44.3,16.8,18,84.0,13,1,6.0,5,0.42,16.0,37.0,-21.0,-1.25,-1.06,19.4,24.1,-4.7,-0.28,-0.52
ESP-La Liga,2122,Levante,Carlos Giménez,ESP,DF,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Levante,Coke,ESP,DF,34.0,6,118.0,20.0,3.5,1.3,1,84.0,0,5,7.0,32,2.0,6.0,2.0,4.0,3.05,3.84,5.2,2.5,2.7,2.09,2.15
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24.0,24,2160.0,90.0,63.2,24.0,24,90.0,24,0,,12,1.0,36.0,46.0,-10.0,-0.42,0.65,39.4,36.9,2.5,0.1,0.26
ESP-La Liga,2122,Levante,Dani Gómez,ESP,FW,23.0,28,1063.0,38.0,31.1,11.8,11,68.0,1,17,19.0,5,0.86,18.0,28.0,-10.0,-0.85,-0.27,20.4,20.7,-0.3,-0.03,-0.06
ESP-La Liga,2122,Levante,Enis Bardhi,MKD,"MF,FW",26.0,30,1701.0,57.0,49.7,18.9,17,78.0,6,13,29.0,2,0.87,27.0,44.0,-17.0,-0.9,-0.48,27.1,28.8,-1.7,-0.09,-0.19
ESP-La Liga,2122,Levante,Enric Franquesa,ESP,DF,24.0,16,625.0,39.0,18.3,6.9,6,75.0,4,10,18.0,17,0.69,7.0,12.0,-5.0,-0.72,-0.08,8.9,9.9,-0.9,-0.13,-0.17
ESP-La Liga,2122,Levante,Giorgi Kochorashvili,GEO,MF,22.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Levante,Gonzalo Melero,ESP,MF,27.0,29,1692.0,58.0,49.5,18.8,20,73.0,6,9,26.0,1,0.97,25.0,39.0,-14.0,-0.74,-0.17,25.3,28.2,-2.9,-0.15,-0.32
ESP-La Liga,2122,Levante,Hernâni Fortes,POR,"FW,MF",29.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Levante,Jorge Miramón,ESP,DF,32.0,29,1977.0,68.0,57.8,22.0,22,85.0,15,7,16.0,4,1.1,28.0,43.0,-15.0,-0.68,-0.06,34.5,35.7,-1.2,-0.06,-0.15
ESP-La Liga,2122,Levante,Jorge de Frutos,ESP,"MF,FW",24.0,25,1760.0,70.0,51.5,19.6,20,82.0,8,5,24.0,0,0.56,23.0,44.0,-21.0,-1.07,-0.86,22.8,27.9,-5.1,-0.26,-0.55
ESP-La Liga,2122,Levante,Joseda,ESP,DF,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Levante,José Campaña,ESP,MF,28.0,20,1422.0,71.0,41.6,15.8,16,79.0,8,4,40.0,0,0.95,22.0,28.0,-6.0,-0.38,0.48,21.0,21.4,-0.4,-0.02,-0.05
ESP-La Liga,2122,Levante,José Luis García Vayá,ESP,MF,22.0,29,2012.0,69.0,58.8,22.4,23,83.0,14,6,19.0,5,1.07,29.0,39.0,-10.0,-0.45,0.51,37.5,33.5,4.0,0.18,0.42
ESP-La Liga,2122,Levante,José Luis Morales,ESP,"FW,MF",34.0,35,2719.0,78.0,79.5,30.2,31,84.0,20,4,30.0,0,0.97,42.0,54.0,-12.0,-0.4,1.27,47.5,42.6,4.9,0.16,0.75
ESP-La Liga,2122,Levante,José Manuel,ESP,DF,22.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Levante,Koke Vegas,ESP,GK,25.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Levante,Marcelo Saracchi,URU,DF,23.0,4,186.0,47.0,5.4,2.1,2,69.0,0,2,25.0,6,1.75,7.0,4.0,3.0,1.45,2.23,3.5,2.7,0.9,0.41,0.43
ESP-La Liga,2122,Levante,Martín Cáceres,URU,DF,34.0,10,663.0,66.0,19.4,7.4,9,69.0,2,1,45.0,3,1.1,6.0,13.0,-7.0,-0.95,-0.36,7.8,10.5,-2.7,-0.37,-0.46
ESP-La Liga,2122,Levante,Mickael Malsa,MTQ,MF,25.0,26,1143.0,44.0,33.4,12.7,11,77.0,3,15,20.0,6,1.12,22.0,33.0,-11.0,-0.87,-0.31,18.2,21.6,-3.4,-0.27,-0.41
ESP-La Liga,2122,Levante,Nemanja Radoja,SRB,MF,28.0,19,1214.0,64.0,35.5,13.5,17,70.0,5,2,14.0,13,1.05,17.0,27.0,-10.0,-0.74,-0.13,20.1,19.1,1.0,0.07,0.1
ESP-La Liga,2122,Levante,Nikola Vukčević,MNE,MF,29.0,6,118.0,20.0,3.5,1.3,0,,0,6,20.0,26,1.17,1.0,3.0,-2.0,-1.53,-0.9,3.1,1.8,1.3,0.96,0.99
ESP-La Liga,2122,Levante,Omar Faraj,SWE,FW,19.0,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,1,3.0,0.0,0.0,0.0,0.0,0.66,0.0,1.0,-1.0,-22.21,-22.25
ESP-La Liga,2122,Levante,Opponent Total,,,27.4,38,3420.0,90.0,100.0,38.0,418,82.0,238,177,19.0,245,0.92,76.0,51.0,25.0,0.66,,56.1,56.5,-0.3,-0.01,
ESP-La Liga,2122,Levante,Pablo Cuñat,ESP,GK,19.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
ESP-La Liga,2122,Levante,Pablo Martínez,ESP,MF,23.0,13,656.0,50.0,19.2,7.3,7,72.0,2,6,25.0,5,0.46,5.0,14.0,-9.0,-1.23,-0.71,10.4,10.1,0.4,0.05,0.05
ESP-La Liga,2122,Levante,Pablo Picón,ESP,GK,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Levante,Pubill,ESP,DF,18.0,11,512.0,47.0,15.0,5.7,5,79.0,2,6,20.0,9,0.73,9.0,17.0,-8.0,-1.41,-0.88,10.4,10.9,-0.6,-0.1,-0.13
ESP-La Liga,2122,Levante,Rober,ESP,DF,26.0,27,2010.0,74.0,58.8,22.3,21,88.0,17,6,28.0,9,1.07,39.0,41.0,-2.0,-0.09,1.38,40.3,33.9,6.4,0.29,0.67
ESP-La Liga,2122,Levante,Roberto Soldado,ESP,FW,36.0,18,664.0,37.0,19.4,7.4,7,68.0,0,11,17.0,7,0.78,10.0,14.0,-4.0,-0.54,0.14,11.3,8.9,2.4,0.33,0.4
ESP-La Liga,2122,Levante,Roger Martí,ESP,FW,30.0,29,2115.0,73.0,61.8,23.5,25,81.0,12,4,23.0,0,1.0,27.0,42.0,-15.0,-0.64,0.05,28.2,34.0,-5.8,-0.25,-0.67
ESP-La Liga,2122,Levante,Rúben Vezo,POR,DF,27.0,32,2420.0,76.0,70.8,26.9,27,86.0,23,5,20.0,2,0.84,35.0,55.0,-20.0,-0.74,-0.29,39.5,36.7,2.8,0.1,0.33
ESP-La Liga,2122,Levante,Sergio Postigo,ESP,DF,32.0,13,848.0,65.0,24.8,9.4,10,80.0,6,3,18.0,7,1.31,13.0,23.0,-10.0,-1.06,-0.54,16.2,17.4,-1.2,-0.13,-0.19
ESP-La Liga,2122,Levante,Shkodran Mustafi,GER,DF,29.0,11,658.0,60.0,19.2,7.3,8,77.0,5,3,13.0,1,0.64,5.0,12.0,-7.0,-0.96,-0.37,8.5,10.2,-1.7,-0.23,-0.3
ESP-La Liga,2122,Levante,Son,ESP,DF,27.0,26,1971.0,76.0,57.6,21.9,22,83.0,13,4,36.0,9,1.04,31.0,40.0,-9.0,-0.41,0.58,34.4,28.8,5.6,0.26,0.58
ESP-La Liga,2122,Levante,Squad Total,,,28.0,38,3420.0,90.0,100.0,38.0,418,81.0,237,180,21.0,261,0.92,51.0,76.0,-25.0,-0.66,,56.5,56.1,0.3,0.01,
ESP-La Liga,2122,Levante,Álex Cantero,ESP,"FW,MF",21.0,25,610.0,24.0,17.8,6.8,4,68.0,0,21,16.0,11,0.68,15.0,16.0,-1.0,-0.15,0.62,14.8,12.0,2.8,0.41,0.49
ESP-La Liga,2122,Levante,Óscar Duarte,CRC,DF,32.0,23,1773.0,77.0,51.8,19.7,20,84.0,15,3,33.0,10,1.09,25.0,36.0,-11.0,-0.56,0.21,27.5,25.5,2.0,0.1,0.2
ESP-La Liga,2122,Mallorca,Abdón Prats,ESP,FW,28.0,23,641.0,28.0,18.7,7.1,6,61.0,0,17,16.0,14,1.04,9.0,16.0,-7.0,-0.98,-0.34,7.4,7.9,-0.5,-0.08,0.17
ESP-La Liga,2122,Mallorca,Aleix Febas,ESP,MF,25.0,4,117.0,29.0,3.4,1.3,1,58.0,0,3,20.0,14,0.25,2.0,5.0,-3.0,-2.31,-1.65,1.0,3.4,-2.4,-1.83,-1.68
ESP-La Liga,2122,Mallorca,Aleksandar Sedlar,SRB,"DF,MF",29.0,10,404.0,40.0,11.8,4.5,3,90.0,3,7,19.0,13,1.0,2.0,9.0,-7.0,-1.56,-0.96,4.0,6.3,-2.3,-0.52,-0.35
ESP-La Liga,2122,Mallorca,Amath,SEN,"FW,MF",25.0,19,884.0,47.0,25.8,9.8,9,68.0,1,10,27.0,4,0.89,10.0,14.0,-4.0,-0.41,0.41,12.0,11.8,0.2,0.03,0.32
ESP-La Liga,2122,Mallorca,Antonio Raillo,ESP,DF,29.0,17,1530.0,90.0,44.7,17.0,17,90.0,17,0,,0,1.18,20.0,30.0,-10.0,-0.59,0.22,20.9,20.5,0.4,0.02,0.43
ESP-La Liga,2122,Mallorca,Antonio Sánchez,ESP,"MF,FW",24.0,29,1616.0,56.0,47.3,18.0,19,72.0,1,10,25.0,6,0.93,12.0,31.0,-19.0,-1.06,-0.66,18.5,23.5,-5.0,-0.28,-0.12
ESP-La Liga,2122,Mallorca,Brian Oliván,ESP,DF,27.0,28,2189.0,78.0,64.0,24.3,24,89.0,22,4,13.0,8,1.18,24.0,39.0,-15.0,-0.62,0.26,26.6,31.2,-4.6,-0.19,0.06
ESP-La Liga,2122,Mallorca,Clément Grenier,FRA,MF,30.0,5,60.0,12.0,1.8,0.7,0,,0,5,12.0,5,1.4,2.0,0.0,2.0,3.0,3.78,1.4,1.0,0.4,0.6,0.83
ESP-La Liga,2122,Mallorca,Dani Rodríguez,ESP,"MF,FW",33.0,36,2832.0,79.0,82.8,31.5,33,84.0,20,3,23.0,1,1.08,29.0,43.0,-14.0,-0.44,1.54,30.7,37.2,-6.5,-0.21,0.04
ESP-La Liga,2122,Mallorca,Dominik Greif,SVK,GK,24.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,13,0.0,2.0,3.0,-1.0,-1.0,-0.3,2.3,0.8,1.5,1.52,1.78
ESP-La Liga,2122,Mallorca,Fernando Niño,ESP,FW,20.0,23,884.0,38.0,25.8,9.8,9,69.0,2,14,19.0,12,0.87,9.0,20.0,-11.0,-1.12,-0.55,12.2,12.7,-0.5,-0.06,0.21
ESP-La Liga,2122,Mallorca,Ferrán Quetglas,ESP,GK,16.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Mallorca,Franco Russo,ARG,DF,26.0,19,1464.0,77.0,42.8,16.3,17,85.0,14,2,6.0,12,1.16,13.0,18.0,-5.0,-0.31,0.7,15.7,18.4,-2.7,-0.17,0.08
ESP-La Liga,2122,Mallorca,Giovanni González,URU,DF,26.0,9,365.0,41.0,10.7,4.1,3,82.0,1,6,20.0,8,0.78,2.0,9.0,-7.0,-1.73,-1.14,4.3,5.0,-0.7,-0.18,0.04
ESP-La Liga,2122,Mallorca,Iddrisu Baba,GHA,MF,25.0,26,1934.0,74.0,56.5,21.5,23,81.0,11,3,23.0,5,0.96,19.0,36.0,-17.0,-0.79,-0.19,18.3,26.3,-8.0,-0.37,-0.37
ESP-La Liga,2122,Mallorca,Iñigo Ruiz de Galarreta,ESP,MF,27.0,22,1378.0,63.0,40.3,15.3,17,75.0,2,5,20.0,0,1.14,12.0,17.0,-5.0,-0.33,0.64,14.5,16.7,-2.2,-0.15,0.11
ESP-La Liga,2122,Mallorca,Jaume Costa,ESP,DF,33.0,25,1828.0,73.0,53.5,20.3,21,85.0,14,4,13.0,6,1.0,18.0,32.0,-14.0,-0.69,0.05,20.3,24.1,-3.8,-0.19,0.06
ESP-La Liga,2122,Mallorca,Javier Llabrés,,"FW,MF",,5,132.0,26.0,3.9,1.5,1,73.0,0,4,15.0,16,0.0,0.0,2.0,-2.0,-1.36,-0.68,2.1,1.1,1.0,0.66,0.91
ESP-La Liga,2122,Mallorca,Joan Sastre Vanrell,ESP,DF,24.0,7,258.0,37.0,7.5,2.9,2,90.0,2,5,16.0,10,0.86,3.0,10.0,-7.0,-2.44,-1.87,3.9,5.2,-1.3,-0.45,-0.25
ESP-La Liga,2122,Mallorca,Jordi Mboula,ESP,FW,22.0,11,434.0,39.0,12.7,4.8,5,68.0,0,6,16.0,10,1.09,4.0,6.0,-2.0,-0.41,0.34,3.9,5.9,-2.0,-0.42,-0.23
ESP-La Liga,2122,Mallorca,Josep Antoni Gayá,ESP,DF,21.0,1,58.0,58.0,1.7,0.6,1,58.0,0,0,,17,0.0,1.0,4.0,-3.0,-4.66,-4.01,0.5,2.2,-1.7,-2.7,-2.53
ESP-La Liga,2122,Mallorca,Lago Junior,CIV,"FW,MF",30.0,6,177.0,30.0,5.2,2.0,1,75.0,0,5,20.0,7,1.0,1.0,7.0,-6.0,-3.05,-2.47,1.1,4.1,-3.0,-1.53,-1.39
ESP-La Liga,2122,Mallorca,Lee Kangin,KOR,"MF,FW",20.0,30,1411.0,47.0,41.3,15.7,15,73.0,2,15,21.0,3,0.8,16.0,28.0,-12.0,-0.77,-0.09,17.5,18.8,-1.4,-0.09,0.21
