,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
410,Pablo Sarabia,es  ESP,FW,Wolves,30-276,1992,1.2,21,34,61.8,389,82,10,16,62.5,7,9,77.8,4,8,50.0,0,0.0,0.1,0.0,0,2,1,0,3
411,Jeremy Sarmiento,ec  ECU,MF,Brighton,20-240,2002,1.8,46,59,78.0,608,143,27,32,84.4,14,17,82.4,1,2,50.0,1,0.2,0.2,+0.8,2,4,3,1,8
412,Gianluca Scamacca,it  ITA,FW,West Ham,24-041,1999,10.3,118,177,66.7,2014,378,63,85,74.1,31,52,59.6,17,21,81.0,0,0.7,0.5,-0.7,13,14,5,1,17
413,Gustavo Scarpa,br  BRA,MF,Nott'ham Forest,29-037,1994,1.2,38,56,67.9,828,329,13,15,86.7,18,21,85.7,6,10,60.0,0,0.0,0.0,0.0,1,7,0,0,8
414,Kevin Schade,de  GER,"FW,MF",Brentford,21-076,2001,0.3,5,9,55.6,58,0,2,2,100.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
415,Fabian Schär,ch  SUI,DF,Newcastle Utd,31-053,1991,19.8,763,1016,75.1,15572,6452,267,315,84.8,383,451,84.9,109,227,48.0,0,1.0,1.2,-1.0,12,78,13,1,83
416,Jeffrey Schlupp,gh  GHA,MF,Crystal Palace,30-050,1992,17.3,488,640,76.3,7838,1976,236,289,81.7,194,233,83.3,40,74,54.1,0,0.5,0.4,-0.5,6,40,6,0,59
417,Nélson Semedo,pt  POR,DF,Wolves,29-087,1993,13.2,482,602,80.1,7567,2439,270,300,90.0,174,215,80.9,31,60,51.7,1,0.4,0.5,+0.6,7,38,8,3,45
418,Antoine Semenyo,gh  GHA,FW,Bournemouth,23-035,2000,1.0,11,16,68.8,200,60,4,7,57.1,6,7,85.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3
419,Marcos Senesi,ar  ARG,DF,Bournemouth,25-277,1997,15.3,564,715,78.9,11429,5121,172,198,86.9,318,361,88.1,67,131,51.1,0,0.2,0.2,-0.2,3,43,2,1,27
420,Ryan Sessegnon,eng  ENG,DF,Tottenham,22-269,2000,9.0,280,390,71.8,4093,1075,178,213,83.6,81,120,67.5,16,29,55.2,0,1.1,1.1,-1.1,6,16,11,3,22
421,Luke Shaw,eng  ENG,DF,Manchester Utd,27-214,1995,16.7,1020,1241,82.2,15482,5901,596,652,91.4,338,401,84.3,61,114,53.5,1,1.8,1.6,-0.8,18,98,21,10,80
422,Jonjo Shelvey,eng  ENG,MF,Newcastle Utd,30-349,1992,0.4,19,26,73.1,442,176,5,6,83.3,8,10,80.0,4,8,50.0,0,0.0,0.0,0.0,0,4,0,0,3
423,Bernardo Silva,pt  POR,"MF,FW",Manchester City,28-185,1994,15.7,827,963,85.9,13143,2359,453,490,92.4,286,325,88.0,60,90,66.7,5,2.4,2.9,+2.6,23,50,21,6,77
424,Thiago Silva,br  BRA,DF,Chelsea,38-142,1984,18.9,1368,1520,90.0,26185,10435,495,522,94.8,728,760,95.8,137,212,64.6,2,0.4,0.6,+1.6,4,85,10,0,76
425,Ellis Simms,eng  ENG,FW,Everton,22-037,2001,0.2,3,4,75.0,67,43,2,2,100.0,0,1,0.0,1,1,100.0,0,0.0,0.3,0.0,0,1,1,0,2
426,Luis Sinisterra,co  COL,FW,Leeds United,23-239,1999,6.0,181,220,82.3,2520,613,94,110,85.5,56,62,90.3,9,11,81.8,0,0.2,0.5,-0.2,4,12,8,1,21
427,Oliver Skipp,eng  ENG,MF,Tottenham,22-148,2000,2.2,78,100,78.0,1110,293,42,49,85.7,32,36,88.9,1,4,25.0,0,0.2,0.1,-0.2,3,3,3,1,7
428,Adam Smith,eng  ENG,DF,Bournemouth,31-288,1991,19.2,626,809,77.4,10627,4608,307,345,89.0,252,309,81.6,57,122,46.7,1,0.6,0.9,+0.4,7,50,17,10,60
429,Emile Smith Rowe,eng  ENG,"MF,FW",Arsenal,22-198,2000,0.6,19,22,86.4,279,75,9,9,100.0,7,7,100.0,2,3,66.7,0,0.3,0.2,-0.3,3,1,2,0,2
430,Cédric Soares,pt  POR,DF,Arsenal,31-164,1991,0.3,19,24,79.2,257,54,10,10,100.0,8,10,80.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,3
431,Dominic Solanke,eng  ENG,"FW,MF",Bournemouth,25-150,1997,14.9,162,231,70.1,2199,459,102,126,81.0,45,58,77.6,9,12,75.0,3,1.2,0.9,+1.8,9,8,6,0,22
432,Manor Solomon,il  ISR,FW,Fulham,23-202,1999,0.7,12,16,75.0,163,93,6,8,75.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,1,1,1,0,3
433,Tomáš Souček,cz  CZE,MF,West Ham,27-349,1995,17.5,448,607,73.8,7656,2280,211,271,77.9,171,218,78.4,48,69,69.6,1,0.7,0.6,+0.3,8,43,5,2,54
434,Boubakary Soumaré,fr  FRA,MF,Leicester City,23-349,1999,9.3,445,500,89.0,6688,1696,245,261,93.9,164,186,88.2,21,26,80.8,0,0.1,0.2,-0.1,2,32,1,0,35
435,Harry Souttar,au  AUS,DF,Leicester City,24-112,1998,1.0,27,35,77.1,490,165,6,7,85.7,21,23,91.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
436,Çağlar Söyüncü,tr  TUR,DF,Leicester City,26-264,1996,0.9,39,49,79.6,667,208,17,18,94.4,21,26,80.8,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,3
437,Djed Spence,eng  ENG,"FW,DF",Tottenham,22-186,2000,0.1,5,9,55.6,60,4,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
438,Jack Stacey,eng  ENG,DF,Bournemouth,26-311,1996,3.3,72,126,57.1,1054,369,41,52,78.8,26,47,55.3,3,12,25.0,0,0.0,0.0,0.0,0,6,1,1,2
439,Junior Stanislas,eng  ENG,MF,Bournemouth,33-077,1989,0.7,22,28,78.6,329,71,12,14,85.7,9,11,81.8,0,1,0.0,0,0.1,0.2,-0.1,2,3,0,0,4
440,Jay Stansfield,eng  ENG,FW,Fulham,20-079,2002,1.0,9,23,39.1,82,32,7,8,87.5,1,7,14.3,0,3,0.0,0,0.1,0.0,-0.1,1,0,0,0,0
441,Raheem Sterling,eng  ENG,"FW,MF",Chelsea,28-065,1994,12.7,296,396,74.7,3813,887,178,213,83.6,84,111,75.7,12,18,66.7,2,2.9,2.1,-0.9,22,17,21,6,36
442,John Stones,eng  ENG,DF,Manchester City,28-259,1994,13.1,990,1052,94.1,16861,4967,459,476,96.4,445,467,95.3,72,86,83.7,2,1.3,0.8,+0.7,5,75,2,0,75
443,Pascal Struijk,nl  NED,DF,Leeds United,23-184,1999,18.6,844,1070,78.9,12028,5458,494,559,88.4,290,366,79.2,33,75,44.0,1,2.3,1.1,-1.3,12,77,12,3,100
444,Kamaldeen Sulemana,gh  GHA,MF,Southampton,20-361,2002,0.5,7,15,46.7,104,12,4,7,57.1,1,2,50.0,1,3,33.3,0,0.0,0.0,0.0,1,1,0,0,1
445,Crysencio Summerville,nl  NED,FW,Leeds United,21-104,2001,7.5,169,226,74.8,2089,554,114,142,80.3,39,48,81.3,5,14,35.7,1,0.8,0.5,+0.2,7,10,7,2,20
446,Sam Surridge,eng  ENG,FW,Nott'ham Forest,24-198,1998,2.9,28,65,43.1,377,125,18,36,50.0,8,18,44.4,1,3,33.3,0,0.1,0.0,-0.1,1,4,0,0,5
447,Japhet Tanganga,eng  ENG,DF,Tottenham,23-317,1999,0.7,32,36,88.9,484,118,19,22,86.4,12,13,92.3,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1
448,Matt Targett,eng  ENG,DF,Newcastle Utd,27-146,1995,4.7,216,283,76.3,3539,1469,107,123,87.0,93,106,87.7,13,44,29.5,0,0.3,0.6,-0.3,7,16,5,0,31
449,James Tarkowski,eng  ENG,DF,Everton,30-084,1992,21.0,896,1063,84.3,18010,6841,293,322,91.0,487,543,89.7,110,182,60.4,0,1.1,1.0,-1.1,8,62,2,0,55
450,Marcus Tavernier,eng  ENG,"MF,FW",Bournemouth,23-326,1999,14.3,346,506,68.4,5560,1449,197,237,83.1,103,147,70.1,33,83,39.8,4,2.2,1.0,+1.8,15,19,8,3,31
451,Tetê,br  BRA,FW,Leicester City,22-361,2000,0.9,22,31,71.0,218,31,17,22,77.3,3,5,60.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
452,Kenny Tete,nl  NED,DF,Fulham,27-125,1995,14.7,595,813,73.2,9342,3793,323,377,85.7,222,304,73.0,39,81,48.1,4,1.0,1.0,+3.0,14,37,14,10,51
453,Luke Thomas,eng  ENG,DF,Leicester City,21-246,2001,7.7,363,456,79.6,5650,2395,201,227,88.5,140,170,82.4,20,36,55.6,0,0.6,0.4,-0.6,3,26,3,1,35
454,Youri Tielemans,be  BEL,MF,Leicester City,25-280,1997,18.3,986,1198,82.3,16343,5526,475,529,89.8,386,447,86.4,92,149,61.7,1,3.7,2.8,-2.7,24,124,26,7,137
455,Kieran Tierney,sct  SCO,DF,Arsenal,25-251,1997,5.2,223,302,73.8,4132,1321,93,109,85.3,106,132,80.3,21,44,47.7,0,0.2,0.3,-0.2,3,24,6,1,25
456,Harry Toffolo,eng  ENG,DF,Nott'ham Forest,27-176,1995,6.8,179,269,66.5,2818,1291,101,118,85.6,69,102,67.6,7,32,21.9,0,0.7,0.9,-0.7,4,10,7,4,21
457,Takehiro Tomiyasu,jp  JPN,DF,Arsenal,24-098,1998,5.7,286,343,83.4,4982,1670,117,133,88.0,136,158,86.1,25,38,65.8,1,0.6,0.2,+0.4,4,33,6,2,42
458,James Tomkins,eng  ENG,DF,Crystal Palace,33-319,1989,1.7,90,111,81.1,1641,581,35,42,83.3,49,54,90.7,6,14,42.9,0,0.0,0.0,0.0,0,0,0,0,1
459,Ivan Toney,eng  ENG,FW,Brentford,26-332,1996,18.9,273,456,59.9,3412,1118,169,246,68.7,63,107,58.9,12,24,50.0,3,2.7,1.8,+0.3,18,30,15,3,42
460,Adama Traoré,es  ESP,"FW,MF",Wolves,27-017,1996,9.5,185,279,66.3,2716,680,117,157,74.5,46,69,66.7,13,24,54.2,1,2.2,1.6,-1.2,13,11,13,8,23
461,Boubacar Traoré,ml  MLI,MF,Wolves,21-175,2001,4.3,97,125,77.6,1641,548,44,53,83.0,47,54,87.0,5,10,50.0,1,0.2,0.1,+0.8,1,16,1,0,8
462,Mark Travers,ie  IRL,GK,Bournemouth,23-269,1999,10.5,244,324,75.3,7221,5230,83,83,100.0,82,83,98.8,78,157,49.7,0,0.0,0.0,0.0,0,4,0,0,0
463,Kieran Trippier,eng  ENG,DF,Newcastle Utd,32-145,1990,20.7,1065,1485,71.7,20603,9065,455,518,87.8,406,533,76.2,185,361,51.2,4,6.5,6.8,-2.5,62,91,59,20,130
464,Kostas Tsimikas,gr  GRE,DF,Liverpool,26-275,1996,5.0,276,360,76.7,4761,1235,132,152,86.8,102,123,82.9,34,65,52.3,3,0.8,0.8,+2.2,13,11,6,3,18
465,Deniz Undav,de  GER,"FW,MF",Brighton,26-207,1996,1.9,40,44,90.9,444,102,27,30,90.0,7,7,100.0,1,1,100.0,0,0.7,0.6,-0.7,5,1,2,0,3
466,Yan Valery,tn  TUN,DF,Southampton,23-354,1999,0.5,15,23,65.2,213,39,9,10,90.0,4,6,66.7,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0
467,Virgil van Dijk,nl  NED,DF,Liverpool,31-218,1991,16.5,1180,1325,89.1,23395,8327,397,427,93.0,644,695,92.7,128,181,70.7,0,0.2,0.5,-0.2,2,91,2,0,72
468,Raphaël Varane,fr  FRA,DF,Manchester Utd,29-292,1993,14.4,679,786,86.4,12970,4157,218,241,90.5,404,436,92.7,49,93,52.7,0,0.1,0.3,-0.1,3,60,3,0,44
469,Jamie Vardy,eng  ENG,FW,Leicester City,36-031,1987,12.9,87,161,54.0,1274,268,40,63,63.5,32,58,55.2,5,10,50.0,4,0.7,0.4,+3.3,9,7,4,1,8
470,Joël Veltman,nl  NED,DF,Brighton,31-027,1992,14.3,768,928,82.8,13708,4534,305,338,90.2,392,446,87.9,59,106,55.7,1,0.2,0.6,+0.8,3,109,5,3,96
471,Fabio Vieira,pt  POR,"MF,FW",Arsenal,22-257,2000,2.9,104,132,78.8,1564,345,62,67,92.5,35,43,81.4,4,12,33.3,1,1.1,0.8,-0.1,4,11,4,1,12
472,Matías Viña,uy  URU,MF,Bournemouth,25-094,1997,0.1,1,1,100.0,16,15,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
473,Rúben Vinagre,pt  POR,"DF,MF",Everton,23-308,1999,0.3,15,24,62.5,223,26,7,10,70.0,7,10,70.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0
474,Carlos Vinícius,br  BRA,FW,Fulham,27-323,1995,4.8,42,75,56.0,486,129,28,38,73.7,8,17,47.1,2,4,50.0,0,0.5,0.3,-0.5,4,1,2,0,4
475,Theo Walcott,eng  ENG,"FW,MF",Southampton,33-332,1989,1.5,22,31,71.0,273,48,17,19,89.5,5,11,45.5,0,1,0.0,0,0.0,0.0,0.0,2,3,0,0,2
476,Kyle Walker,eng  ENG,DF,Manchester City,32-259,1990,8.8,747,853,87.6,12813,3599,342,369,92.7,330,365,90.4,66,99,66.7,0,0.1,0.3,-0.1,4,92,2,1,82
477,Kyle Walker-Peters,eng  ENG,DF,Southampton,25-304,1997,15.6,493,679,72.6,7169,2883,299,339,88.2,147,215,68.4,28,65,43.1,0,0.9,1.4,-0.9,10,32,18,6,48
478,Aaron Wan-Bissaka,eng  ENG,DF,Manchester Utd,25-077,1997,6.8,270,329,82.1,3718,1314,185,199,93.0,66,88,75.0,12,18,66.7,0,0.5,0.3,-0.5,6,22,3,2,20
479,Danny Ward,wls  WAL,GK,Leicester City,29-234,1993,21.0,585,775,75.5,13829,8491,164,165,99.4,291,293,99.3,129,309,41.7,0,0.0,0.0,0.0,0,6,0,0,0
480,Joel Ward,eng  ENG,DF,Crystal Palace,33-105,1989,14.4,501,670,74.8,8181,3708,250,285,87.7,201,254,79.1,34,97,35.1,0,0.1,0.2,-0.1,2,37,3,1,49
481,James Ward-Prowse,eng  ENG,MF,Southampton,28-102,1994,21.0,924,1220,75.7,15897,4763,450,506,88.9,343,432,79.4,100,214,46.7,2,3.9,3.2,-1.9,43,98,17,7,113
482,Ollie Watkins,eng  ENG,FW,Aston Villa,27-043,1995,18.1,234,332,70.5,2888,539,155,203,76.4,53,73,72.6,8,11,72.7,4,2.2,1.8,+1.8,16,21,8,1,25
483,Adam Webster,eng  ENG,DF,Brighton,28-038,1995,13.0,780,904,86.3,14775,5472,294,320,91.9,397,446,89.0,82,119,68.9,0,0.0,0.3,0.0,2,74,4,1,65
484,Wout Weghorst,nl  NED,FW,Manchester Utd,30-188,1992,3.0,42,62,67.7,495,60,30,41,73.2,5,6,83.3,3,6,50.0,0,0.4,0.5,-0.4,5,1,0,0,5
485,Danny Welbeck,eng  ENG,FW,Brighton,32-077,1990,12.7,183,222,82.4,2130,354,118,137,86.1,47,54,87.0,2,6,33.3,2,2.5,1.2,-0.5,16,15,7,0,21
486,Ben White,eng  ENG,DF,Arsenal,25-126,1997,17.7,962,1146,83.9,16600,5736,435,475,91.6,446,505,88.3,66,122,54.1,2,1.1,1.8,+0.9,13,130,20,6,139
487,Harvey White,eng  ENG,MF,Tottenham,21-145,2001,0.1,3,8,37.5,54,21,2,3,66.7,0,2,0.0,1,3,33.3,0,0.0,0.0,0.0,0,0,1,1,0
488,Neco Williams,wls  WAL,DF,Nott'ham Forest,21-304,2001,13.5,389,609,63.9,6978,2480,177,216,81.9,146,211,69.2,53,136,39.0,0,1.3,1.1,-1.3,12,17,12,8,21
489,Willian,br  BRA,FW,Fulham,34-186,1988,12.6,377,477,79.0,6448,1370,190,222,85.6,129,157,82.2,45,70,64.3,2,2.0,1.3,0.0,22,24,18,1,68
490,Joe Willock,eng  ENG,MF,Newcastle Utd,23-175,1999,17.4,492,610,80.7,7663,1856,271,305,88.9,167,198,84.3,37,57,64.9,2,3.4,2.2,-1.4,19,52,14,5,70
491,Callum Wilson,eng  ENG,FW,Newcastle Utd,30-349,1992,12.5,103,145,71.0,1239,220,69,87,79.3,24,29,82.8,2,6,33.3,3,1.5,1.5,+1.5,12,8,4,0,13
492,Harry Wilson,wls  WAL,FW,Fulham,25-326,1997,3.9,118,155,76.1,1778,298,66,75,88.0,42,52,80.8,7,16,43.8,0,0.1,0.2,-0.1,2,7,3,0,13
493,Yoane Wissa,cd  COD,FW,Brentford,26-161,1996,10.2,145,205,70.7,1921,398,96,113,85.0,32,46,69.6,7,17,41.2,2,2.2,0.7,-0.2,8,16,6,0,19
494,Maximilian Wöber,at  AUT,DF,Leeds United,25-007,1998,3.3,153,211,72.5,2866,1287,59,73,80.8,79,95,83.2,14,37,37.8,0,0.2,0.0,-0.2,1,20,0,0,19
495,Joe Worrall,eng  ENG,DF,Nott'ham Forest,26-032,1997,13.0,519,653,79.5,10850,3838,149,175,85.1,283,325,87.1,85,139,61.2,0,0.5,0.4,-0.5,2,50,2,0,40
496,Granit Xhaka,ch  SUI,MF,Arsenal,30-137,1992,19.0,811,957,84.7,13083,3481,406,455,89.2,317,362,87.6,65,83,78.3,5,3.8,2.9,+1.2,33,92,24,2,124
497,Ryan Yates,eng  ENG,MF,Nott'ham Forest,25-082,1997,15.5,374,479,78.1,6395,1537,161,194,83.0,172,196,87.8,30,54,55.6,1,1.1,0.3,-0.1,6,22,2,0,36
498,Ashley Young,eng  ENG,DF,Aston Villa,37-217,1985,13.2,549,738,74.4,9680,4041,262,294,89.1,230,289,79.6,49,115,42.6,0,0.8,0.6,-0.8,10,44,13,4,67
499,Wilfried Zaha,ci  CIV,"FW,MF",Crystal Palace,30-093,1992,18.5,368,460,80.0,5033,1064,241,272,88.6,99,117,84.6,15,27,55.6,2,2.4,2.1,-0.4,21,13,25,2,45
500,Denis Zakaria,ch  SUI,MF,Chelsea,26-083,1996,3.2,124,138,89.9,1711,464,71,76,93.4,40,41,97.6,4,5,80.0,0,0.0,0.1,0.0,0,3,0,0,4
501,Jordan Zemura,zw  ZIM,DF,Bournemouth,23-089,1999,12.5,329,466,70.6,4750,2529,188,223,84.3,103,143,72.0,18,44,40.9,1,1.8,1.8,-0.8,17,28,10,4,33
502,Oleksandr Zinchenko,ua  UKR,DF,Arsenal,26-058,1996,11.0,736,842,87.4,11978,3661,376,399,94.2,303,352,86.1,40,58,69.0,1,0.6,1.1,+0.4,7,94,16,3,108
503,Hakim Ziyech,ma  MAR,"FW,MF",Chelsea,29-329,1993,5.4,178,286,62.2,3004,1173,101,116,87.1,54,91,59.3,20,55,36.4,1,1.4,1.2,-0.4,10,14,12,5,31
504,Kurt Zouma,fr  FRA,DF,West Ham,28-107,1994,14.2,522,610,85.6,10113,3240,178,192,92.7,278,306,90.8,59,96,61.5,0,0.0,0.1,0.0,0,9,2,0,16
505,Martin Ødegaard,no  NOR,MF,Arsenal,24-056,1998,17.7,670,847,79.1,10254,3134,350,402,87.1,233,292,79.8,52,82,63.4,5,5.0,4.4,0.0,41,61,41,1,127
