,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
158,Edin Džeko,ba  BIH,FW,Roma,29,1986,21.8,8,,33,,,1.52,,0.18,,2,2
159,Blerim Džemaili,ch  SUI,MF,Genoa,29,1986,19.8,3,,7,,,0.35,,0.43,,0,0
160,Edenílson,br  BRA,MF,Udinese,25,1989,24.5,0,,4,,,0.16,,0.00,,0,0
161,Simone Edera,it  ITA,MF,Torino,18,1997,0.1,0,,0,,,0.00,,,,0,0
162,Rodrigo Ely,br  BRA,DF,Milan,21,1993,1.9,0,,1,,,0.52,,0.00,,0,0
163,Urby Emanuelson,nl  NED,"MF,DF",Hellas Verona,29,1986,6.9,0,,2,,,0.29,,0.00,,0,0
164,Marcelo Estigarribia,py  PAR,"DF,MF",Atalanta,27,1987,0.3,0,,0,,,0.00,,,,0,0
165,Patrice Evra,fr  FRA,"MF,DF",Juventus,34,1981,22.7,2,,6,,,0.26,,0.33,,0,0
166,Diego Falcinelli,it  ITA,FW,Sassuolo,24,1991,12.4,2,,7,,,0.56,,0.14,,1,1
167,Filippo Falco,it  ITA,FW,Bologna,23,1992,2.5,0,,0,,,0.00,,,,0,0
168,Iago Falque,es  ESP,"FW,MF",Roma,25,1990,13.0,2,,9,,,0.69,,0.22,,0,0
169,Mohamed Fares,dz  ALG,"DF,MF",Hellas Verona,19,1996,6.1,0,,0,,,0.00,,,,0,0
170,Alexander Farnerud,se  SWE,MF,Torino,31,1984,1.1,0,,0,,,0.00,,,,0,0
171,Andrea Favilli,it  ITA,FW,Juventus,18,1997,0.0,0,,0,,,0.00,,,,0,0
172,Matteo Fedele,ch  SUI,MF,Carpi,23,1992,6.3,0,,3,,,0.48,,0.00,,0,0
173,Bruno Fernandes,pt  POR,"MF,FW",Udinese,20,1994,23.4,3,,16,,,0.68,,0.13,,1,1
174,Matías Fernández,cl  CHI,MF,Fiorentina,29,1986,12.0,1,,4,,,0.33,,0.25,,0,0
175,Fernando,br  BRA,MF,Sampdoria,23,1992,33.1,4,,14,,,0.42,,0.29,,0,0
176,Alex Ferrari,it  ITA,DF,Bologna,21,1994,14.0,0,,1,,,0.07,,0.00,,0,0
177,Riccardo Fiamozzi,it  ITA,MF,Genoa,22,1993,5.3,0,,0,,,0.00,,,,0,0
178,Diogo Figueiras,pt  POR,"MF,DF",Genoa,24,1991,6.1,1,,3,,,0.49,,0.33,,0,0
179,Alessandro Florenzi,it  ITA,"DF,MF",Roma,24,1991,30.2,7,,14,,,0.46,,0.50,,0,0
180,Alessandro Frara,it  ITA,MF,Frosinone,32,1982,12.9,2,,3,,,0.23,,0.67,,0,0
181,Remo Freuler,ch  SUI,MF,Atalanta,23,1992,5.0,1,,1,,,0.20,,1.00,,0,0
182,Nicolas Frey,fr  FRA,DF,Chievo,31,1984,16.5,0,,0,,,0.00,,,,0,0
183,Dominik Furman,pl  POL,MF,Hellas Verona,23,1992,0.2,0,,0,,,0.00,,,,0,0
184,Manolo Gabbiadini,it  ITA,FW,Napoli,23,1991,6.2,5,,10,,,1.60,,0.40,,1,1
185,Gabriel,br  BRA,GK,Napoli,22,1992,1.0,0,,0,,,0.00,,,,0,0
186,Roberto Gagliardini,it  ITA,MF,Atalanta,21,1994,0.9,0,,0,,,0.00,,,,0,0
187,Riccardo Gagliolo,se  SWE,DF,Carpi,25,1990,29.3,1,,4,,,0.14,,0.25,,0,0
188,Alessandro Gamberini,it  ITA,DF,Chievo,33,1981,20.1,0,,0,,,0.00,,,,0,0
189,Daniele Gastaldello,it  ITA,DF,Bologna,32,1983,24.4,1,,2,,,0.08,,0.50,,0,0
190,Alessandro Gazzi,it  ITA,MF,Torino,32,1983,10.7,0,,1,,,0.09,,0.00,,0,0
191,Marcello Gazzola,it  ITA,DF,Sassuolo,30,1985,5.3,0,,1,,,0.19,,0.00,,0,0
192,Santiago Gentiletti,ar  ARG,DF,Lazio,30,1985,19.0,0,,0,,,0.00,,,,0,0
193,Gervinho,ci  CIV,"FW,MF",Roma,28,1987,12.1,6,,11,,,0.91,,0.55,,0,0
194,Faouzi Ghoulam,dz  ALG,DF,Napoli,24,1991,32.4,0,,8,,,0.25,,0.00,,0,0
195,Emanuele Giaccherini,it  ITA,"FW,MF",Bologna,30,1985,24.2,7,,12,,,0.50,,0.58,,0,0
196,Alberto Gilardino,it  ITA,FW,Palermo,33,1982,26.1,10,,19,,,0.73,,0.53,,0,0
197,Luigi Giorgi,it  ITA,MF,Atalanta,28,1987,0.2,0,,0,,,0.00,,,,0,0
198,Kamil Glik,pl  POL,DF,Torino,27,1988,33.0,0,,8,,,0.24,,0.00,,0,0
199,Assane Gnoukouri,ci  CIV,MF,Inter,18,1996,0.6,0,,0,,,0.00,,,,0,0
200,Massimo Gobbi,it  ITA,DF,Chievo,34,1980,31.0,0,,0,,,0.00,,,,0,0
201,Edoardo Goldaniga,it  ITA,DF,Palermo,21,1993,13.5,2,,3,,,0.22,,0.67,,0,0
202,Pierluigi Gollini,it  ITA,GK,Hellas Verona,20,1995,25.8,0,,0,,,0.00,,,,0,0
203,Papu Gómez,ar  ARG,FW,Atalanta,27,1988,31.2,7,,25,,,0.80,,0.28,,0,0
204,Giancarlo González,cr  CRC,DF,Palermo,27,1988,34.9,2,,2,,,0.06,,1.00,,0,0
205,Mirko Gori,it  ITA,MF,Frosinone,22,1993,24.0,0,,6,,,0.25,,0.00,,0,0
206,Alberto Grassi,it  ITA,MF,Atalanta,20,1995,10.8,0,,3,,,0.28,,0.00,,0,0
207,Leandro Greco,it  ITA,MF,Hellas Verona,29,1986,21.0,1,,4,,,0.19,,0.25,,0,0
208,Fredy Guarín,co  COL,MF,Inter,29,1986,10.8,1,,8,,,0.74,,0.13,,0,0
209,Robert Gucher,at  AUT,MF,Frosinone,24,1991,15.2,0,,5,,,0.33,,0.00,,0,0
