,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
238,Pape Diop,"€ 25,577","€ 1,330,000","€ 1,330,000",M,34,Senegal,Eibar
239,Karim Rekik,"€ 25,192","€ 1,310,000","€ 1,310,000",D,25,Netherlands,Sevilla
240,Takefusa Kubo,"€ 24,808","€ 1,290,000","€ 1,290,000",F,19,Japan,Villarreal
241,Álvaro Negredo,"€ 24,808","€ 1,290,000","€ 1,290,000",F,35,Spain,Cadiz
242,Borja Iglesias,"€ 24,808","€ 1,290,000","€ 1,290,000",F,27,Spain,Real Betis
243,Takefusa Kubo,"€ 24,808","€ 1,290,000","€ 1,290,000",F,19,Japan,Getafe
244,Jeremías Ledesma,"€ 24,615","€ 1,280,000","€ 1,280,000",K,27,Argentina,Cadiz
245,Roberto,"€ 24,231","€ 1,260,000","€ 1,260,000",K,34,Spain,Valladolid
246,Domingos Duarte,"€ 24,231","€ 1,260,000","€ 1,260,000",D,25,Portugal,Granada
247,Sidnei,"€ 23,846","€ 1,240,000","€ 1,240,000",D,31,Brazil,Real Betis
248,Guido Carrillo,"€ 23,654","€ 1,230,000","€ 1,230,000",F,29,Argentina,Elche
249,David Costas,"€ 23,462","€ 1,220,000","€ 1,220,000",D,25,Spain,Celta Vigo
250,Unai López,"€ 23,269","€ 1,210,000","€ 1,210,000",M,24,Spain,Athletic Club
251,Takashi Inui,"€ 23,077","€ 1,200,000","€ 1,200,000",F,32,Japan,Eibar
252,Luuk de Jong,"€ 23,077","€ 1,200,000","€ 1,200,000",F,30,Netherlands,Sevilla
253,Dimitri Foulquier,"€ 23,077","€ 1,200,000","€ 1,200,000",D,27,Guadeloupe,Granada
254,Idrissa Doumbia,"€ 22,500","€ 1,170,000","€ 1,170,000",M,22,Cote d'Ivoire,Huesca
255,Roger Martí,"€ 22,500","€ 1,170,000","€ 1,170,000",F,29,Spain,Levante
256,Paulo Gazzaniga,"€ 22,308","€ 1,160,000","€ 1,160,000",K,29,Argentina,Elche
257,Rubén Peña,"€ 22,308","€ 1,160,000","€ 1,160,000",D,29,Spain,Villarreal
258,Óscar Rodríguez,"€ 22,115","€ 1,150,000","€ 1,150,000",F,22,Spain,Sevilla
259,Jonathan Calleri,"€ 21,731","€ 1,130,000","€ 1,130,000",F,27,Argentina,Osasuna
260,Alexander Isak,"€ 21,538","€ 1,120,000","€ 1,120,000",F,21,Sweden,Real Sociedad
261,David Juncà,"€ 21,538","€ 1,120,000","€ 1,120,000",D,26,Spain,Celta Vigo
262,Robin Le Normand,"€ 21,346","€ 1,110,000","€ 1,110,000",D,23,France,Real Sociedad
263,Dimitrios Siovas,"€ 21,346","€ 1,110,000","€ 1,110,000",D,32,Greece,Huesca
264,Youssouf Koné,"€ 21,346","€ 1,110,000","€ 1,110,000",D,25,Mali,Elche
265,Facundo Pellistri,"€ 21,346","€ 1,110,000","€ 1,110,000",F,19,Uruguay,Alaves
266,Juan Cala,"€ 21,154","€ 1,100,000","€ 1,100,000",D,30,Spain,Cadiz
267,Jorge Sáenz,"€ 21,154","€ 1,100,000","€ 1,100,000",D,23,Spain,Celta Vigo
268,Jules Koundé,"€ 21,154","€ 1,100,000","€ 1,100,000",D,21,France,Sevilla
269,Augusto Fernández,"€ 20,962","€ 1,090,000","€ 1,090,000",M,34,Argentina,Cadiz
270,Nacho Martínez,"€ 20,962","€ 1,090,000","€ 1,090,000",D,31,Spain,Valladolid
271,Roberto Soldado,"€ 20,769","€ 1,080,000","€ 1,080,000",F,35,Spain,Granada
272,Aitor Fernández,"€ 20,769","€ 1,080,000","€ 1,080,000",K,29,Spain,Levante
273,Deyverson,"€ 20,769","€ 1,080,000","€ 1,080,000",F,29,Brazil,Alaves
274,Rubén Martínez,"€ 20,769","€ 1,080,000","€ 1,080,000",K,36,Spain,Osasuna
275,Luis Milla,"€ 20,577","€ 1,070,000","€ 1,070,000",M,26,Spain,Granada
276,Johan Mojica,"€ 20,192","€ 1,050,000","€ 1,050,000",D,28,Colombia,Elche
277,Pere Pons,"€ 20,192","€ 1,050,000","€ 1,050,000",M,27,Spain,Alaves
278,Carlos Fernández,"€ 20,000","€ 1,040,000","€ 1,040,000",F,24,Spain,Sevilla
279,Carlos Fernández,"€ 20,000","€ 1,040,000","€ 1,040,000",F,24,Spain,Real Sociedad
280,Cristian Tello,"€ 20,000","€ 1,040,000","€ 1,040,000",F,29,Spain,Real Betis
